# t_s,id,pitch_rad,yaw_rad,pitch_rate_rad_s,yaw_rate_rad_s
1.170798,1,0.342175,0.242421,-0.001624,0.000198
1.181347,1,0.342155,0.242427,0.003024,-0.003520
1.191897,1,0.342180,0.242432,-0.004413,-0.002591
1.202450,1,0.342172,0.242486,-0.001624,-0.004450
1.213000,1,0.342136,0.242483,0.000235,-0.005379
1.223549,1,0.342156,0.242518,-0.001624,-0.000731
1.234098,1,0.342134,0.242539,-0.005343,-0.002591
1.244646,1,0.342137,0.242553,0.005813,-0.006309
1.255194,1,0.342217,0.242544,0.002094,-0.005379
1.265742,1,0.342142,0.242583,0.005813,-0.005379
1.276291,1,0.342144,0.242628,-0.006272,0.001128
1.286839,1,0.342137,0.242686,0.001165,-0.010957
1.297386,1,0.342134,0.242749,-0.001624,-0.005379
1.307935,1,0.342113,0.242821,-0.001624,-0.012816
1.318483,1,0.342078,0.242853,-0.000695,-0.009098
1.329032,1,0.342117,0.242847,0.007672,-0.005379
1.339580,1,0.342105,0.242862,-0.000695,-0.006309
1.350128,1,0.342148,0.242917,0.003954,-0.007239
1.360677,1,0.342147,0.242927,0.002094,-0.007239
1.371225,1,0.342169,0.242947,0.005813,-0.008168
1.381774,1,0.342184,0.242945,0.005813,-0.007239
1.392322,1,0.342101,0.242951,0.000235,-0.015605
1.402870,1,0.342293,0.242990,0.007672,-0.004450
1.413419,1,0.342397,0.243002,-0.002554,-0.009098
1.423967,1,0.342387,0.243020,-0.002554,-0.000731
1.434517,1,0.342413,0.243017,0.010461,0.002058
1.445065,1,0.342298,0.243064,-0.007202,-0.007239
1.455614,1,0.342307,0.243081,-0.001624,-0.008168
1.466163,1,0.342440,0.243126,-0.001624,-0.002591
1.476713,1,0.342328,0.243125,-0.000695,-0.003520
1.487262,1,0.342325,0.243131,0.012320,-0.004450
1.497811,1,0.342428,0.243184,-0.002554,-0.007239
1.508358,1,0.342386,0.243181,-0.002554,-0.003520
1.518906,1,0.342423,0.243199,0.001165,-0.007239
1.529464,1,0.342363,0.243212,-0.004413,-0.011887
