# t_s,id,pitch_rad,yaw_rad,pitch_rate_rad_s,yaw_rate_rad_s
1.117566,1,-0.357540,-0.001976,-0.000231,0.000061
1.128105,1,-0.357548,-0.001975,0.001359,0.000590
1.138649,1,-0.357538,-0.001964,-0.000767,-0.001005
1.149195,1,-0.357535,-0.001967,-0.000499,-0.000739
1.159737,1,-0.357548,-0.001965,-0.000766,-0.001272
1.170277,1,-0.357548,-0.001943,-0.001292,-0.000203
1.180816,1,-0.357554,-0.001947,0.000297,0.000059
1.191356,1,-0.357548,-0.001955,-0.000762,0.001395
1.201897,1,-0.357536,-0.001968,0.000033,0.000860
1.212437,1,-0.357535,-0.001964,-0.000765,-0.001538
1.222976,1,-0.357541,-0.001947,-0.000497,-0.000472
1.233515,1,-0.357553,-0.001953,0.001096,0.000591
1.244055,1,-0.357569,-0.001964,0.000035,0.000060
1.254595,1,-0.357562,-0.001974,0.000563,0.000858
1.265137,1,-0.357561,-0.001978,0.000297,0.000592
1.275678,1,-0.357560,-0.001984,0.000032,-0.000207
1.286229,1,-0.357571,-0.001987,-0.000233,-0.000206
1.296784,1,-0.357570,-0.001973,-0.000234,-0.000740
1.307330,1,-0.357554,-0.001965,0.000295,-0.000475
1.317870,1,-0.357546,-0.001964,-0.001295,0.000330
1.328410,1,-0.357534,-0.001971,-0.000501,-0.000739
1.338951,1,-0.357507,-0.001964,0.000823,-0.001010
1.349491,1,-0.357489,-0.001959,-0.000765,0.000595
1.360033,1,-0.357477,-0.001956,-0.000231,-0.000206
1.370574,1,-0.357512,-0.001951,-0.000764,-0.000205
1.381113,1,-0.357517,-0.001948,0.000032,-0.000474
1.391658,1,-0.357531,-0.001951,0.000035,0.001127
1.402202,1,-0.357551,-0.001944,0.000830,-0.000742
1.412742,1,-0.357569,-0.001951,-0.000233,0.000061
1.423282,1,-0.357562,-0.001929,0.000295,-0.001274
1.433822,1,-0.357559,-0.001922,0.000029,-0.000474
1.444364,1,-0.357539,-0.001921,-0.000763,-0.000471
1.454903,1,-0.357566,-0.001915,0.000299,0.000326
1.465445,1,-0.357569,-0.001921,0.000562,0.000325
1.475986,1,-0.357566,-0.001926,-0.000498,0.000328
1.486527,1,-0.357553,-0.001925,-0.000764,-0.000472
1.497066,1,-0.357556,-0.001928,0.000293,0.000058
1.507607,1,-0.357527,-0.001918,-0.000501,-0.000473
1.518147,1,-0.357503,-0.001921,-0.000500,0.000594
1.528687,1,-0.357486,-0.001923,0.000827,-0.000209
1.539226,1,-0.357502,-0.001915,0.000827,-0.000742
1.549766,1,-0.357492,-0.001905,0.000297,-0.001008
1.560314,1,-0.357485,-0.001913,-0.001029,-0.000204
1.570860,1,-0.357486,-0.001897,0.000030,-0.001807
1.581401,1,-0.357481,-0.001882,-0.000500,-0.000739
1.591942,1,-0.357479,-0.001877,0.000296,-0.000208
1.602483,1,-0.357471,-0.001882,-0.001290,0.000864
1.613022,1,-0.357488,-0.001892,-0.000497,0.000061
1.623562,1,-0.357482,-0.001887,-0.000237,-0.001540
1.634102,1,-0.357476,-0.001888,-0.000498,0.001128
1.644646,1,-0.357462,-0.001891,-0.000231,0.000327
1.655191,1,-0.357477,-0.001898,0.000302,0.001126
1.665730,1,-0.357495,-0.001902,-0.001291,-0.000203
1.676269,1,-0.357501,-0.001896,-0.000759,0.000329
1.686808,1,-0.357509,-0.001885,-0.001557,-0.000736
1.697348,1,-0.357505,-0.001887,-0.001026,0.000330
1.707887,1,-0.357517,-0.001889,-0.001553,-0.000202
1.718427,1,-0.357559,-0.001889,-0.000764,-0.000472
1.728973,1,-0.357553,-0.001879,-0.000759,0.000596
1.739513,1,-0.357563,-0.001876,-0.002613,-0.000199
1.750052,1,-0.357610,-0.001870,-0.001552,-0.001268
1.760592,1,-0.357716,-0.001848,-0.002876,-0.001797
1.771132,1,-0.357784,-0.001834,-0.000229,-0.000739
1.781668,1,-0.357816,-0.001839,-0.002882,0.000335
1.792208,1,-0.357855,-0.001843,0.000033,-0.001007
1.802734,1,-0.357885,-0.001833,0.001357,0.000056
1.813259,1,-0.357897,-0.001841,0.000564,0.001125
1.823783,1,-0.357914,-0.001845,-0.001552,-0.000468
1.834292,1,-0.357966,-0.001827,-0.000765,-0.001005
1.844816,1,-0.357892,-0.001833,-0.000498,0.000061
1.855340,1,-0.357915,-0.001835,-0.000229,0.000328
1.865865,1,-0.357910,-0.001847,0.000562,0.001658
1.876392,1,-0.357908,-0.001858,0.000302,-0.000740
1.886920,1,-0.357956,-0.001852,0.000299,0.000326
1.897444,1,-0.357908,-0.001852,0.000556,-0.000743
1.907969,1,-0.357910,-0.001842,-0.000229,-0.000205
1.918493,1,-0.357935,-0.001838,0.001093,0.000324
1.929018,1,-0.357923,-0.001839,0.001092,-0.001010
1.939542,1,-0.357952,-0.001834,0.000034,0.000327
1.950066,1,-0.357952,-0.001832,0.000292,-0.000742
1.960591,1,-0.357924,-0.001826,0.000563,-0.001275
1.971116,1,-0.357919,-0.001825,0.000029,0.001392
1.981641,1,-0.357896,-0.001832,0.000297,0.000326
1.992170,1,-0.357876,-0.001837,-0.000234,0.001660
2.002702,1,-0.357850,-0.001847,-0.001561,0.000863
2.013228,1,-0.357821,-0.001856,-0.002090,-0.000201
2.023753,1,-0.357785,-0.001844,-0.001298,-0.001004
2.034278,1,-0.357789,-0.001854,0.001096,0.000591
2.044803,1,-0.357799,-0.001849,0.000297,0.000326
2.055327,1,-0.357779,-0.001852,0.001887,0.000588
2.065854,1,-0.357781,-0.001858,0.001626,-0.000477
2.076379,1,-0.357791,-0.001847,-0.001297,-0.000737
2.086903,1,-0.357765,-0.001850,-0.001294,0.000063
2.097428,1,-0.357769,-0.001839,-0.000764,-0.000738
2.107953,1,-0.357767,-0.001833,0.000031,-0.000474
2.118450,1,-0.357768,-0.001833,-0.000231,0.000327
2.128974,1,-0.357769,-0.001834,-0.000761,0.000062
2.139498,1,-0.357789,-0.001832,-0.000231,0.000061
2.150022,1,-0.357795,-0.001838,0.000299,0.001393
2.160549,1,-0.357778,-0.001868,0.000031,0.000859
2.171073,1,-0.357764,-0.001877,0.000561,0.000058
2.181597,1,-0.357761,-0.001869,-0.000500,-0.000472
2.192121,1,-0.357752,-0.001868,0.000824,-0.001276
2.202645,1,-0.357737,-0.001862,0.000027,-0.001008
2.213169,1,-0.357728,-0.001838,-0.000500,-0.001272
2.223694,1,-0.357721,-0.001823,-0.000234,-0.000740
2.234189,1,-0.357712,-0.001820,-0.001029,0.000329
2.244714,1,-0.357681,-0.001829,0.000031,0.000593
2.255238,1,-0.357670,-0.001831,0.000563,0.001925
2.265763,1,-0.357660,-0.001845,-0.000496,0.000861
2.276299,1,-0.357668,-0.001851,0.000566,-0.000208
2.286871,1,-0.357691,-0.001841,-0.001297,-0.001004
2.297407,1,-0.357661,-0.001832,-0.000237,-0.000740
2.307950,1,-0.357658,-0.001840,0.001092,0.002190
2.318480,1,-0.357615,-0.001839,0.000032,-0.001007
2.329011,1,-0.357645,-0.001834,0.000565,-0.000741
2.339539,1,-0.357651,-0.001816,-0.000236,-0.000740
2.350065,1,-0.357628,-0.001810,-0.000765,0.000861
2.360594,1,-0.357663,-0.001858,0.002166,0.001123
2.371121,1,-0.357609,-0.001896,0.004259,0.007778
2.381649,1,-0.357449,-0.002020,0.003224,0.010452
2.392176,1,-0.357537,-0.002067,0.002432,0.002456
2.402704,1,-0.357452,-0.002150,0.005065,0.010444
2.413230,1,-0.357399,-0.002188,0.000036,-0.000206
2.423756,1,-0.357443,-0.002175,-0.000758,0.000063
2.434283,1,-0.357444,-0.002133,-0.001303,-0.006604
2.444810,1,-0.357433,-0.002049,-0.004221,-0.006863
2.455335,1,-0.357492,-0.001945,-0.005804,-0.009257
2.465861,1,-0.357518,-0.001870,-0.003423,-0.004999
2.476388,1,-0.357519,-0.001833,-0.002884,-0.003932
2.486914,1,-0.357559,-0.001778,-0.005012,-0.004194
2.497441,1,-0.357546,-0.001761,-0.003943,-0.001529
2.507972,1,-0.357615,-0.001734,-0.002618,-0.002333
2.518500,1,-0.357594,-0.001737,0.001355,0.001656
2.529028,1,-0.357589,-0.001760,0.003479,0.001917
2.539556,1,-0.357539,-0.001795,0.002420,0.003520
2.550081,1,-0.357550,-0.001806,0.002153,0.001121
2.560610,1,-0.357499,-0.001833,0.001094,0.002723
2.571141,1,-0.357511,-0.001841,0.001623,0.003255
2.581668,1,-0.357489,-0.001876,0.000300,0.001126
2.592208,1,-0.357503,-0.001876,0.001094,0.001390
2.602735,1,-0.357483,-0.001893,-0.001557,0.000864
2.613262,1,-0.357505,-0.001876,-0.001290,-0.000736
2.623789,1,-0.357525,-0.001870,-0.002617,-0.000999
2.634316,1,-0.357546,-0.001850,-0.002355,-0.000734
2.644844,1,-0.357553,-0.001828,-0.000767,-0.004471
2.655371,1,-0.357560,-0.001769,-0.000503,-0.002073
2.665898,1,-0.357577,-0.001740,-0.001295,-0.003403
2.676424,1,-0.357569,-0.001734,0.001089,0.001656
2.686951,1,-0.357559,-0.001758,0.001097,0.001657
2.697477,1,-0.357546,-0.001765,0.001622,0.001389
2.708003,1,-0.357547,-0.001786,0.000038,0.002727
2.718529,1,-0.357549,-0.001815,0.001363,0.003523
2.729055,1,-0.357571,-0.001817,0.000832,0.000058
2.739581,1,-0.357566,-0.001823,0.001356,0.000589
2.750107,1,-0.357576,-0.001814,-0.001556,-0.000202
2.760633,1,-0.357573,-0.001824,-0.001558,0.000331
2.771158,1,-0.357583,-0.001803,0.000029,-0.000741
2.781683,1,-0.357595,-0.001802,-0.000493,0.000329
2.792210,1,-0.357600,-0.001806,0.001354,-0.000478
2.802736,1,-0.357589,-0.001809,0.000295,0.000325
2.813261,1,-0.357567,-0.001827,-0.000234,0.001660
2.823787,1,-0.357561,-0.001844,0.000036,0.001660
2.834312,1,-0.357549,-0.001871,0.001090,0.001390
2.844840,1,-0.357514,-0.001884,0.002681,0.001919
2.855366,1,-0.357477,-0.001884,-0.000762,0.001129
2.865891,1,-0.357471,-0.001893,0.000031,0.001393
2.876418,1,-0.357441,-0.001915,0.000299,0.002459
2.886943,1,-0.357432,-0.001927,0.000562,0.000592
2.897468,1,-0.357398,-0.001930,-0.000237,0.000326
2.907993,1,-0.357377,-0.001927,-0.001295,-0.001003
2.918518,1,-0.357373,-0.001923,0.000565,0.000592
2.929043,1,-0.357390,-0.001926,-0.000233,-0.001539
2.939568,1,-0.357391,-0.001920,-0.000765,-0.000472
2.950093,1,-0.357382,-0.001935,-0.000493,0.001928
2.960619,1,-0.357402,-0.001946,0.000034,0.000860
2.971144,1,-0.357390,-0.001952,0.000559,0.000858
2.981669,1,-0.357359,-0.001973,0.000562,0.003258
2.992193,1,-0.357315,-0.002004,0.001351,0.002455
3.002718,1,-0.357238,-0.002026,0.000292,0.002724
3.013244,1,-0.357177,-0.002049,0.000557,0.002724
3.023768,1,-0.357072,-0.002117,0.002676,0.008050
3.034294,1,-0.356889,-0.002213,0.003989,0.010444
3.044823,1,-0.356559,-0.002370,0.005299,0.014170
3.055355,1,-0.355748,-0.002630,0.008975,0.016020
3.065887,1,-0.354920,-0.002822,0.008418,0.018416
3.076416,1,-0.353824,-0.003050,0.009716,0.023740
3.086941,1,-0.352432,-0.003296,0.013910,0.022387
3.097468,1,-0.350538,-0.003459,0.016996,0.010363
3.107994,1,-0.347893,-0.003646,0.013190,0.017821
3.118520,1,-0.344270,-0.003760,0.004025,0.009018
